Date,Forecast Low,Forecast High,Real Low,Real High
2017-11-05,40.0,70.0,37,63
2017-11-06,30.0,60.0,53,67
2017-11-07,30.0,60.0,40,53
2017-11-08,10.0,40.0,28,46
2017-11-09,20.0,50.0,23,54
2017-11-10,20.0,25.0,24,50
2017-11-11,10.0,55.0,19,39
2017-11-12,12.0,40.0,18,48
2017-11-13,20.0,50.0,26,45
2017-11-14,25.0,50.0,38,45
2017-11-15,7.0,47.0,26,47
2017-11-16,20.0,50.0,29,51
2017-11-17,10.0,37.0,24,46
2017-11-18,20.0,60.0,20,56
2017-11-19,20.0,60.0,38,63
2017-11-20,20.0,50.0,34,43
2017-11-21,20.0,60.0,27,58
2017-11-22,25.0,60.0,38,55
2017-11-23,5.0,40.0,26,44
2017-11-24,20.0,47.0,23,49
2017-11-25,30.0,50.0,27,57
2017-11-26,10.0,50.0,37,50
2017-11-27,8.0,47.0,23,48
2017-11-28,20.0,47.0,17,51
2017-11-29,20.0,65.0,34,63
2017-11-30,20.0,40.0,22,48
2017-12-01,20.0,50.0,29,54
2017-12-02,20.0,45.0,24,46
2017-12-03,20.0,40.0,26,46
2017-12-04,20.0,40.0,26,49
2017-12-05,20.0,50.0,23,60
2017-12-06,8.0,50.0,30,60
2017-12-07,20.0,47.0,26,47
2017-12-08,20.0,25.0,24,41
2017-12-09,20.0,40.0,32,36
2017-12-10,20.0,35.0,26,38
2017-12-11,20.0,40.0,24,40
2017-12-12,16.0,50.0,29,47
2017-12-13,20.0,25.0,21,36
2017-12-14,25.0,30.0,17,30
2017-12-15,10.0,30.0,6,27
2017-12-16,20.0,30.0,15,33
2017-12-17,0.0,30.0,5,31
2017-12-18,5.0,40.0,17,38
2017-12-19,20.0,50.0,28,52
2017-12-20,20.0,40.0,29,49
2017-12-21,5.0,30.0,18,36
2017-12-22,20.0,20.0,24,34
2017-12-23,20.0,50.0,30,54
2017-12-24,20.0,40.0,31,42
