Date,Real Low,Real High
2017/11/5,37,63
2017/11/6,53,67
2017/11/7,40,53
2017/11/8,28,46
2017/11/9,23,54
2017/11/10,24,50
2017/11/11,19,39
2017/11/12,18,48
2017/11/13,26,45
2017/11/14,38,45
2017/11/15,26,47
2017/11/16,29,51
2017/11/17,24,46
2017/11/18,20,56
2017/11/19,38,63
2017/11/20,34,43
2017/11/21,27,58
2017/11/22,38,55
2017/11/23,26,44
2017/11/24,23,49
2017/11/25,27,57
2017/11/26,37,50
2017/11/27,23,48
2017/11/28,17,51
2017/11/29,34,63
2017/11/30,22,48
2017/12/1,29,54
2017/12/2,24,46
2017/12/3,26,46
2017/12/4,26,49
2017/12/5,23,60
2017/12/6,30,60
2017/12/7,26,47
2017/12/8,24,41
2017/12/9,32,36
2017/12/10,26,38
2017/12/11,24,40
2017/12/12,29,47
2017/12/13,21,36
2017/12/14,17,30
2017/12/15,6,27
2017/12/16,15,33
2017/12/17,5,31
2017/12/18,17,38
2017/12/19,28,52
2017/12/20,29,49
2017/12/21,18,36
2017/12/22,24,34
2017/12/23,30,54
2017/12/24,31,42
